,longitude,elevation
0,-102.15997318,817.885559082
1,-93.8460993324,344.131103516
2,-122.32788,17.1293621063
3,-119.210814433,360.591522217
4,-73.9731128639,102.275535583
5,-75.2330615447,138.235321045
6,-84.857298252,309.761627197
7,-113.834013007,1140.05419922
8,-120.733396498,608.735168457
9,-72.6147745824,24.9000282288
10,-82.920956747,188.633743286
11,-72.8460970534,252.225326538
12,-117.055500851,647.120910645
13,-83.5734654163,194.373565674
14,-98.033626696,408.966003418
15,-91.1082112995,216.101211548
16,-81.2934222672,235.459899902
17,-89.4816844954,260.782592773
18,-84.3759105189,230.816070557
19,-120.622889107,486.246276855
20,-95.0465646035,440.428253174
21,-101.725946803,759.092956543
22,-108.780058956,1006.36199951
23,-71.7015019666,105.20514679
24,-114.901361569,1034.40527344
25,-85.7474918928,238.807540894
26,-100.16994658,592.009338379
27,-86.438256841,225.513198853
28,-89.2960753206,282.67980957
29,-94.6864866592,385.58996582
30,-87.0802851618,196.987640381
31,-77.6844108295,175.09375
32,-116.442711511,810.959838867
33,-79.0630422143,206.332473755
34,-101.846275241,755.359985352
35,-74.4857571543,256.60244751
36,-104.981955686,1269.48840332
37,-90.2946692351,341.852172852
38,-103.328940395,1119.23254395
39,-90.504751987,299.029785156
40,-117.18233315,614.476379395
41,-107.502340364,907.304504395
42,-84.2597866043,219.687713623
43,-82.4666038072,224.869842529
44,-111.345204741,1344.81518555
45,-74.7878926609,126.745414734
46,-88.9809771473,251.58430481
47,-88.1693619322,258.033355713
48,-110.905079486,1710.71911621
49,-121.83839834,567.547485352
50,-86.7547080052,255.665054321
51,-89.7733344621,285.860809326
52,-97.9136541706,405.112792969
53,-111.132342316,1383.29455566
54,-98.7515438567,487.813293457
55,-71.2547168211,17.3128967285
56,-114.513109014,1436.28039551
57,-92.3006454644,387.073516846
58,-86.3250506442,243.880172729
59,-106.538621139,1385.21618652
60,-114.064683116,971.372070312
61,-95.2865762303,435.231842041
62,-78.5065163036,242.579589844
63,-121.601303873,721.043151855
64,-111.026169161,1452.87023926
65,-101.605606223,734.58001709
66,-81.6897431127,186.472488403
67,-83.0347061509,180.892242432
68,-116.686416433,815.333007812
69,-107.301345543,1311.17980957
70,-105.950912096,1323.42150879
71,-103.752577414,1191.32958984
72,-96.9647494176,494.941558838
73,-78.790876591,178.676040649
74,-113.38654912,1258.55151367
75,-108.565015279,969.576538086
76,-71.4782989742,100.384635925
77,-88.9983641352,253.688858032
78,-115.828716636,1216.6262207
79,-100.892742379,700.383300781
80,-110.418834804,1359.7409668
81,-96.6049916328,413.041992188
82,-96.3655808155,436.758056641
83,-73.3451641567,415.041534424
84,-103.012034041,926.726379395
85,-82.1301064686,218.668945312
86,-80.3344815797,258.189971924
87,-78.6216824299,228.584838867
88,-120.838906289,883.034545898
89,-113.742897805,1131.75219727
90,-105.703163822,1412.71533203
91,-89.4336019034,292.68536377
92,-85.2822025043,282.93270874
93,-108.45944971,979.342834473
94,-84.4920412467,257.431915283
95,-76.8618541225,166.531356812
96,-88.9725717984,261.231414795
97,-85.0494148989,302.925750732
98,-90.7496405298,290.489715576
99,-90.6236639184,342.478271484
100,-97.5538393409,436.273284912
101,-116.072180221,863.561157227
102,-118.452215519,574.147399902
103,-104.407598716,1502.50231934
104,-81.5063842451,195.891738892
105,-81.1853691481,260.484100342
106,-75.4683585184,184.801681519
107,-92.7791489718,417.554870605
108,-121.369877496,886.128479004
109,-73.2336769628,308.628112793
110,-103.472018967,1355.44030762
111,-106.191287754,1316.69580078
112,-75.9399143458,120.40272522
113,-85.8634901595,237.321395874
114,-101.952212494,779.352966309
115,-115.58737458,1208.28796387
116,-83.353792876,188.994186401
117,-87.843691382,193.927627563
118,-73.0553002273,470.769805908
119,-99.4593763818,458.051300049
120,-78.3915115102,268.965942383
121,-96.8448031018,459.496124268
122,-118.574738864,526.552368164
123,-104.861909227,1288.54003906
124,-99.8096630763,534.967956543
125,-89.3856452154,299.260070801
126,-77.8028266007,185.051071167
127,-95.5265508588,470.35534668
128,-121.467834625,753.209960938
129,-76.5255788207,155.712783813
130,-79.9301755599,322.650787354
131,-79.8362723416,287.387207031
132,-79.5522757326,208.966781616
133,-81.9197681995,199.863769531
134,-89.8353868487,286.496490479
135,-118.227476654,597.708129883
136,-78.8444196167,182.183242798
137,-118.339933447,590.486877441
138,-121.959073854,414.910583496
139,-80.5554786839,218.666030884
140,-98.5135473377,469.895263672
141,-87.6379369274,180.708877563
142,-79.4572190331,203.025238037
143,-97.3140533697,471.430541992
144,-80.1175201068,333.186431885
145,-103.132260063,941.021118164
146,-76.1777615781,132.036270142
147,-93.126245586,385.352294922
148,-90.6770289398,275.936218262
149,-88.2826803913,234.516418457
150,-110.782832821,1676.33300781
151,-103.868495284,1119.56445312
152,-109.137812714,1124.55773926
153,-90.3953503819,289.936309814
154,-114.79668698,867.008911133
155,-89.5465035066,280.76574707
156,-111.926538366,1365.07958984
157,-86.9656007473,242.355178833
158,-112.823052911,1352.06140137
159,-92.4929747571,368.165161133
160,-103.635247108,1140.79650879
161,-117.547142624,735.367980957
162,-97.6737599966,418.984100342
163,-84.6917042379,275.297546387
164,-106.623497338,1445.91320801
165,-94.4464037797,354.097900391
166,-94.0862352715,329.532165527
167,-96.2458420119,460.476593018
168,-105.464835953,1379.27954102
169,-72.1490704114,245.396697998
170,-112.719840551,1754.5748291
171,-119.465811593,328.020477295
172,-109.019095005,1057.3145752
173,-84.0275608935,226.810577393
174,-84.7232873031,283.090270996
175,-89.0870257802,277.477508545
176,-73.8970537643,101.675201416
177,-107.723530616,954.486755371
178,-76.9804517449,140.753433228
179,-108.095448095,1104.22705078
180,-83.7973101316,202.209854126
181,-100.531421745,676.756774902
182,-115.007098859,910.87689209
183,-82.027112911,208.774978638
184,-104.091412433,1119.25317383
185,-109.720111075,1265.40808105
186,-106.860339248,1333.93591309
187,-88.0577896683,226.35307312
188,-79.1589227175,212.102630615
189,-106.31154099,1413.18115234
190,-75.5862295753,147.948562622
191,-79.2599618305,207.132766724
192,-83.2476673312,186.153656006
193,-102.651078711,867.923217773
194,-76.4135909034,134.631668091
195,-72.036328905,233.93536377
196,-73.135148119,456.634643555
197,-72.9598855847,380.689086914
198,-102.056015876,796.827880859
199,-71.1413427141,3.43399095535
200,-120.142196944,645.577575684
